keyword	keywordThesaurus
Carey Lab	carey lab controlled vocabulary
Virginia Tech	carey lab controlled vocabulary
Western Virginia Water Authority	carey lab controlled vocabulary
Falling Creek Reservoir	carey lab controlled vocabulary
Beaverdam Reservoir	carey lab controlled vocabulary
Carvins Cove Reservoir	carey lab controlled vocabulary
CCR	carey lab controlled vocabulary
FCR	carey lab controlled vocabulary
BVR	carey lab controlled vocabulary
Fluorescent dissolved organic matter	carey lab controlled vocabulary
Reservoir	cuahsi controlled vocabulary
Lake	cuahsi controlled vocabulary
Lakes	lter controlled vocabulary
colored dissolved organic matter	cuahsi controlled vocabulary
absorbance	cuahsi controlled vocabulary
fluorescence	lter controlled vocabulary
organic matter	lter controlled vocabulary
