Wavelength,MilliQ,C50_1jun23_9m_r1,C100_1jun23_0_1m_r1,C50_1jun23_6m_r1,C300cove_1jun23_bot_r1,C300_1jun23_0_1m_r2,C300pool_1jun23_0_1m_r2,C300cove_1jun23_surf_r1,C50_1jun23_20m_r2,C50_1jun23_6m_r2
501,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
502,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
503,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
504,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
505,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
506,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
507,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
508,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
509,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
510,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0,0.002,0.001
511,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
512,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
513,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
514,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
515,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
516,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
517,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
518,-0.001,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
519,-0.001,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
520,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
521,0,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
522,0,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0.002,0.001
523,-0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
524,-0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0
525,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
526,0,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
527,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
528,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
529,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0
530,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
531,-0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
532,-0.001,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0
533,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
534,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
535,0,0.001,0.004,0.002,0.002,0.003,0.001,0.001,0.002,0.001
536,0.001,0.002,0.005,0.003,0.002,0.004,0.002,0.002,0.003,0.002
537,0,0.001,0.004,0.002,0.002,0.003,0.001,0.001,0.002,0.001
538,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0
539,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
540,0,0.001,0.004,0.002,0.002,0.003,0.001,0,0.002,0.001
541,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
542,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
543,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
544,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
545,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
546,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
547,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
548,0,0.001,0.004,0.002,0.001,0.003,0.001,0.001,0.002,0.001
549,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
550,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
551,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
552,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
553,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
554,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
555,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0.001
556,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
557,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
558,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
559,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
560,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
561,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
562,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
563,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
564,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
565,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.002,0
566,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
567,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
568,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
569,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
570,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
571,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
572,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
573,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
574,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
575,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
576,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
577,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
578,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
579,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
580,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
581,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
582,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
583,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
584,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
585,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
586,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
587,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0.001
588,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
589,0,0.001,0.004,0.002,0.001,0.003,0.001,0,0.001,0
590,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
591,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
592,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
593,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
594,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
595,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
596,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
597,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
598,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
599,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
600,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
601,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
602,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
603,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
604,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
605,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
606,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
607,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
608,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
609,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
610,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
611,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
612,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
613,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
614,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
615,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
616,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
617,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
618,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
619,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
620,0,0.001,0.003,0.002,0.001,0.003,0.001,0,0.001,0
621,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
622,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
623,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
624,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
625,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
626,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
627,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
628,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
629,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
630,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
631,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
632,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
633,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
634,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
635,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
636,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
637,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
638,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
639,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
640,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
641,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
642,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
643,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
644,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
645,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
646,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
647,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
648,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
649,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
650,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
651,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
652,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
653,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
654,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
655,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
656,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
657,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
658,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
659,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
660,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
661,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
662,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
663,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
664,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
665,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
666,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
667,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
668,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
669,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
670,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
671,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
672,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
673,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
674,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
675,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
676,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
677,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
678,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
679,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
680,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
681,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
682,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
683,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
684,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
685,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
686,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
687,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
688,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
689,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
690,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
691,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
692,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
693,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
694,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
695,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
696,0,0.001,0.003,0.001,0.001,0.003,0.001,0,0.001,0
697,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
698,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
699,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
700,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
701,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
702,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
703,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
704,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
705,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
706,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
707,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
708,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
709,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
710,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
711,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
712,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
713,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
714,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
715,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
716,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
717,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
718,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
719,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
720,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
721,0,0.001,0.003,0.001,0.001,0.002,0.001,0,0.001,0
722,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
723,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
724,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
725,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
726,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
727,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
728,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
729,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
730,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
731,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
732,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
733,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
734,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
735,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
736,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
737,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
738,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
739,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
740,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
741,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
742,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
743,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
744,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
745,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
746,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
747,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
748,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
749,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
750,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
751,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
752,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
753,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
754,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
755,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
756,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
757,0,0,0.002,0.001,0.001,0.002,0,0,0.001,0
758,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
759,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
760,0.001,0.001,0.003,0.002,0.002,0.003,0.001,0.001,0.002,0.001
761,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0.001
762,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
763,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
764,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
765,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
766,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
767,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
768,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
769,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
770,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
771,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
772,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
773,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
774,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
775,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
776,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
777,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
778,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
779,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
780,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
781,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
782,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
783,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
784,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
785,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
786,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
787,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
788,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
789,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
790,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
791,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
792,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
793,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
794,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
795,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
796,0,0.001,0.002,0.001,0.001,0.002,0,0,0.001,0
797,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
798,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
799,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
800,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
801,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
802,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
803,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
804,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
805,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
806,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
807,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
808,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
809,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
810,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
811,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
812,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
813,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
814,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
815,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
816,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
817,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
818,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
819,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
820,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
821,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
822,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
823,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
824,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
825,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
826,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
827,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
828,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
829,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
830,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
831,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
832,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
833,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
834,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
835,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
836,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
837,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
838,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
839,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
840,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
841,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
842,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
843,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
844,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
845,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
846,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
847,0,0,0.002,0.001,0.001,0.002,0.001,0,0.001,0
848,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
849,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
850,0,0.001,0.002,0.001,0.001,0.002,0.001,0,0.001,0
