Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample.Name,Max.Fl.Ex,Max.Fl.Em,Max.Fl,B.,T.,A.,C.,M.,N.,FI.,BIX.,HIX.,T.B,T.M.,T.N.,T.C.,A.T.,A.C.,A.M.,M.C.,C.N.,A254,a254,A350,a350,NOTES,NOTES_extra
CCR,94,1.5,5/22/2024,1,1,20240614_CC1_22may24_BOTr1.csv,300,300,12.84998239,0.075381322,0.075130505,0.190270291,0.079798199,0.082470051,0.077047279,1.404881578,0.685123775,2.8207381,0.996672697,0.911003498,0.97512211,0.941506278,2.532530432,2.384393302,2.307144083,1.033482616,1.035704309,0.061,14.0483,0.014,3.2242,,
CCR,101,0.1,5/22/2024,2,1,20240614_CS1_22may24_01r2.csv,300,300,2.640964195,0.017984195,0.03527018,0.171774391,0.106074238,0.067589946,0.047286582,1.396852137,0.537091285,8.344072098,1.961176511,0.521825839,0.745881352,0.332504676,4.87024423,1.619378981,2.541419283,0.637194733,2.243220639,0.047,10.8241,0.013,2.9939,,
CCR,90,1.5,5/22/2024,2,1,20240614_CC4_22may24_15r2.csv,310,310,3.425266309,0.084095962,0.090198477,0.184165809,0.07682826,0.083306906,0.087697865,1.476071796,0.712350488,2.728163874,1.072566089,1.082725076,1.02851394,1.17402732,2.041784027,2.397110229,2.210690766,1.084326341,0.876056223,0.054,12.4362,0.009,2.0727,,
CCR,94,0.1,5/22/2024,2,1,20240614_CC1_22may24_01r2.csv,300,300,3.710686408,0.070184763,0.078541784,0.178759351,0.074699005,0.078420132,0.076851693,1.426214181,0.688904722,2.874342407,1.119071726,1.001551296,1.021991597,1.051443512,2.275977713,2.393062,2.279508429,1.049814938,0.971989066,0.055,12.6665,0.01,2.303,,
CCR,98,0.5,5/22/2024,1,1,20240614_CP1_22may24_BOTr1.csv,305,304,7.794128974,0.049604841,0.063342856,0.208563889,0.111109858,0.086802132,0.072955584,1.417724114,0.594372169,4.694980853,1.276949074,0.729738483,0.868238624,0.570092134,3.292618971,1.877096176,2.402750775,0.781227998,1.522979483,0.061,14.0483,0.016,3.6848,,
CCR,96,1.5,5/22/2024,2,1,20240614_CP2_22may24_BOTr2.csv,300,300,2.956408624,0.077638892,0.077049375,0.192704658,0.083751218,0.084308599,0.080393867,1.424709413,0.659748675,3.184703046,0.992406943,0.913896991,0.958398674,0.919979156,2.50105413,2.300917667,2.285705843,1.006655198,1.041761292,0.057,13.1271,0.01,2.303,,
CCR,100,0.1,5/22/2024,2,1,20240614_CS2_22may24_01r2.csv,300,300,7.572149085,0.023870186,0.037620392,0.170506873,0.102407253,0.066662458,0.050509475,1.399716404,0.559812391,6.86307093,1.576040995,0.564341511,0.744818525,0.367360625,4.532299158,1.664988251,2.557764553,0.650954463,2.027486001,0.049,11.2847,0.015,3.4545,,
CCR,96,0.1,5/22/2024,1,1,20240614_CP2_22may24_01r1.csv,300,300,4.297860875,0.064986482,0.072386586,0.192512825,0.083823382,0.083258802,0.079440297,1.382910522,0.651485219,3.375565048,1.113871443,0.869416621,0.911207399,0.863560792,2.659509656,2.296648264,2.3122219,0.993264645,1.055174584,0.057,13.1271,0.01,2.303,,
CCR,90,6,5/22/2024,1,1,20240614_CC4_22may24_BOTr1.csv,300,300,4.747690857,0.055781046,0.070508331,0.228488118,0.112977096,0.100764106,0.086948316,1.466901842,0.672130931,4.381018995,1.264019528,0.699736579,0.810922327,0.624094027,3.240583278,2.022428666,2.267554658,0.89189853,1.299359219,0.054,12.4362,0.011,2.5333,,
CCR,90,0.1,5/22/2024,1,1,20240614_CC4_22may24_01r1.csv,300,300,1.268555631,0.058635237,0.063497623,0.164157698,0.068356026,0.071766986,0.068879457,1.425093793,0.672189713,3.172375442,1.082926018,0.884774837,0.921865905,0.92892503,2.585257363,2.401510273,2.287370662,1.049899919,0.992400759,0.05,11.515,0.008,1.8424,,
