Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
464.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
465.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
466.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
467.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
468.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
469.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
470.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
471.00	-0.000	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.001
472.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
473.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
474.00	-0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
475.00	-0.000	0.001	0.001	0.001	0.000	0.000	0.001	0.001	0.001	0.001	0.001
476.00	-0.000	0.001	0.001	0.001	0.000	0.000	0.001	0.001	0.001	0.001	0.001
477.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.001	0.001	0.001	0.001
478.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.000
479.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.001	0.001	0.001	0.001
480.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.001	0.001	0.001	0.001
481.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.001
482.00	-0.000	0.001	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.001	0.000
483.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
484.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
485.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
486.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
487.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
488.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
489.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
490.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
491.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000
492.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
493.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
494.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
495.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
496.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
497.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
498.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
499.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
500.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
501.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
502.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
503.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
504.00	-0.000	0.000	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
505.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
506.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
507.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000
508.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
509.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
510.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
511.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
512.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
513.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
514.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
515.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
516.00	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000
517.00	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
518.00	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000
519.00	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000
520.00	-0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000
521.00	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000
522.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000
523.00	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000
524.00	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
525.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
526.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000
527.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000
528.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000
529.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
530.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
531.00	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
532.00	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
533.00	-0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000
534.00	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000
535.00	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000
536.00	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
537.00	-0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.000
538.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
539.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
540.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
541.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
542.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000
543.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
544.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
545.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
546.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
547.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
548.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
549.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000
550.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000
551.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
552.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
553.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
554.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000
555.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.000
556.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
557.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
558.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
559.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
560.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
561.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
562.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
563.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000
564.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
565.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
566.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
567.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
568.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000
569.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
570.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
571.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
572.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
573.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
574.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
575.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
576.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
577.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
578.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
579.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
580.00	0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
581.00	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
582.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
583.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000
584.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
585.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
586.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
587.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
588.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
589.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
590.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
591.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
592.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
593.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
594.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
595.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
596.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
597.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
598.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
599.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
600.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
601.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
602.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
603.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
604.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
605.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
606.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
607.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
608.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
609.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
610.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
611.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
612.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
613.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
614.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
615.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
616.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
617.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000
618.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
619.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
620.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
621.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
622.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
623.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
624.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
625.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
626.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
627.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000
628.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000
629.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
630.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
631.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
632.00	-0.000	-0.001	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
633.00	-0.000	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
634.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
635.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
636.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
637.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
638.00	-0.000	-0.001	-0.000	-0.001	-0.001	-0.001	-0.000	-0.001	-0.000	-0.001	-0.000
639.00	-0.000	-0.001	-0.000	-0.001	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
640.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.001
641.00	-0.000	-0.001	-0.000	-0.001	-0.001	-0.001	-0.000	-0.001	-0.000	-0.001	-0.001
642.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
643.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
644.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
645.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
646.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
647.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
648.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
649.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
650.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
651.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
652.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
653.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
654.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
655.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
656.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
657.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
658.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
659.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
660.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
661.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
662.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
663.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
664.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
665.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
666.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
667.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
668.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
669.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
670.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
671.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
672.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
673.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
674.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
675.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
676.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
677.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
678.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
679.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
680.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
681.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
682.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
683.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
684.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
685.00	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
686.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
687.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
688.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
689.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
690.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
691.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
692.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
693.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
694.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
695.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
696.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
697.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
698.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
699.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
700.00	-0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
701.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
702.00	0.000	-0.000	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
703.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
704.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
705.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
706.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
707.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
708.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
709.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
710.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.000	-0.000	-0.000	-0.000
711.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.001	-0.000
712.00	-0.000	-0.001	-0.000	-0.000	-0.001	-0.001	-0.000	-0.001	-0.000	-0.000	-0.000
